iteration,candidate_id,parent_id,valid,reward,score,bio_score,batch_mixing_score,embedding_shape,runtime_s,candidate_path,error
0,0,,True,1.027498096358162,1.027498096358162,0.5593490679633668,0.468149028394795,"[500, 20]",2.016,/Users/zhangweikun/era/implementation/saved_runs/scrna_d3c_pbmc3k_era_vs_bon_N10/era_candidates/cand_000.py,
1,1,0,True,1.0700699165859162,1.0700699165859162,0.56694901378968,0.5031209027962363,"[500, 20]",1.321,/Users/zhangweikun/era/implementation/saved_runs/scrna_d3c_pbmc3k_era_vs_bon_N10/bon_candidates/cand_001.py,
2,2,0,True,1.070069915149361,1.070069915149361,0.5669490173459053,0.5031208978034556,"[500, 20]",1.32,/Users/zhangweikun/era/implementation/saved_runs/scrna_d3c_pbmc3k_era_vs_bon_N10/bon_candidates/cand_002.py,
3,3,0,True,1.0700699165859162,1.0700699165859162,0.56694901378968,0.5031209027962363,"[500, 20]",1.903,/Users/zhangweikun/era/implementation/saved_runs/scrna_d3c_pbmc3k_era_vs_bon_N10/bon_candidates/cand_003.py,
4,4,0,True,1.041957460658601,1.041957460658601,0.537552071136369,0.5044053895222321,"[500, 50]",2.106,/Users/zhangweikun/era/implementation/saved_runs/scrna_d3c_pbmc3k_era_vs_bon_N10/bon_candidates/cand_004.py,
5,5,0,True,1.070069915149361,1.070069915149361,0.5669490173459053,0.5031208978034556,"[500, 20]",1.601,/Users/zhangweikun/era/implementation/saved_runs/scrna_d3c_pbmc3k_era_vs_bon_N10/bon_candidates/cand_005.py,
6,6,0,True,1.0700699165859162,1.0700699165859162,0.56694901378968,0.5031209027962363,"[500, 20]",1.759,/Users/zhangweikun/era/implementation/saved_runs/scrna_d3c_pbmc3k_era_vs_bon_N10/bon_candidates/cand_006.py,
7,7,0,True,1.059701481834054,1.059701481834054,0.5539472438395023,0.5057542379945517,"[500, 20]",1.63,/Users/zhangweikun/era/implementation/saved_runs/scrna_d3c_pbmc3k_era_vs_bon_N10/bon_candidates/cand_007.py,
8,8,0,True,1.070069915149361,1.070069915149361,0.5669490173459053,0.5031208978034556,"[500, 20]",1.492,/Users/zhangweikun/era/implementation/saved_runs/scrna_d3c_pbmc3k_era_vs_bon_N10/bon_candidates/cand_008.py,
9,9,0,True,1.070069915149361,1.070069915149361,0.5669490173459053,0.5031208978034556,"[500, 20]",1.397,/Users/zhangweikun/era/implementation/saved_runs/scrna_d3c_pbmc3k_era_vs_bon_N10/bon_candidates/cand_009.py,
10,10,0,True,1.059701481834054,1.059701481834054,0.5539472438395023,0.5057542379945517,"[500, 20]",1.569,/Users/zhangweikun/era/implementation/saved_runs/scrna_d3c_pbmc3k_era_vs_bon_N10/bon_candidates/cand_010.py,
